2025-10-18 10:11:12.000000,6062
2025-10-18 10:11:42.000000,6092
2025-10-18 10:12:12.000000,6122
2025-10-18 10:12:42.000000,6152
2025-10-18 10:13:12.000000,6182
2025-10-18 10:13:42.000000,6212
2025-10-18 10:14:12.000000,6242
2025-10-18 10:14:42.000000,6272
2025-10-18 10:15:12.000000,6302
2025-10-18 10:15:42.000000,6332
2025-10-18 10:16:12.000000,6362
2025-10-18 10:16:42.000000,6392
2025-10-18 10:17:12.000000,6422
2025-10-18 10:17:42.000000,6452
2025-10-18 10:18:12.000000,6482
2025-10-18 10:18:42.000000,6512
2025-10-18 10:19:12.000000,6542
2025-10-18 10:19:42.000000,6572
2025-10-18 10:20:12.000000,6602
2025-10-18 10:20:42.000000,6632
2025-10-18 10:21:12.000000,6662
2025-10-18 10:21:42.000000,6692
2025-10-18 10:22:12.000000,6722
2025-10-18 10:22:42.000000,6752
2025-10-18 10:23:12.000000,6782
2025-10-18 10:23:42.000000,6812
2025-10-18 10:24:12.000000,6842
2025-10-18 10:24:42.000000,6872
2025-10-18 10:25:12.000000,6902
2025-10-18 10:25:42.000000,6932
2025-10-18 10:26:12.000000,6962
2025-10-18 10:26:42.000000,6992
2025-10-18 10:27:12.000000,7022
2025-10-18 10:27:42.000000,7052
2025-10-18 10:28:12.000000,7082
2025-10-18 10:28:42.000000,7112
2025-10-18 10:29:12.000000,7142
2025-10-18 10:29:42.000000,7172
2025-10-18 10:30:12.000000,7202
2025-10-18 10:30:42.000000,7232
2025-10-18 10:31:12.000000,7262
2025-10-18 10:31:42.000000,7292
2025-10-18 10:32:12.000000,7322
2025-10-18 10:32:42.000000,7352
2025-10-18 10:33:12.000000,7382
2025-10-18 10:33:42.000000,7412
2025-10-18 10:34:12.000000,7442
2025-10-18 10:34:42.000000,7472
2025-10-18 10:35:12.000000,7502
2025-10-18 10:35:42.000000,7532
2025-10-18 10:36:12.000000,7562
2025-10-18 10:36:42.000000,7592
2025-10-18 10:37:12.000000,7622
2025-10-18 10:37:42.000000,7652
2025-10-18 10:38:12.000000,7682
2025-10-18 10:38:42.000000,7712
2025-10-18 10:39:12.000000,7742
2025-10-18 10:39:42.000000,7772
2025-10-18 10:40:12.000000,7802
2025-10-18 10:40:42.000000,7832
2025-10-18 10:41:12.000000,7862
2025-10-18 10:41:42.000000,7892
2025-10-18 10:42:12.000000,7922
2025-10-18 10:42:42.000000,7952
2025-10-18 10:43:12.000000,7982
2025-10-18 10:43:42.000000,8012
